n,run_idx,phase1_shots,phase2_shots,fidelity,elapsed_s,support_size,support_hit,support_indices
2,0,8196,8196,0.9999914252333939,0.41438392200507224,2,1,00 11
2,1,8196,8196,0.9999951767215249,0.25270021699543577,2,1,00 11
2,2,8196,8196,0.9999921249317905,0.24140221100242343,2,1,00 11
2,3,8196,8196,0.9999430299343004,0.2423116380086867,2,1,00 11
2,4,8196,8196,0.9999794235323958,0.23496452599647455,2,1,00 11
2,5,8196,8196,0.9999999387921097,0.29164522100472823,2,1,00 11
2,6,8196,8196,0.9998358483977743,0.2552135189907858,2,1,00 11
2,7,8196,8196,0.9999601782854729,0.24148062900349032,2,1,00 11
2,8,8196,8196,0.9999205110782775,0.26066990398976486,2,1,00 11
2,9,8196,8196,0.9999999846321969,0.23815403500339016,2,1,00 11
2,10,8196,8196,0.9999996278343632,0.2711636120075127,2,1,00 11
2,11,8196,8196,0.9999980361627647,0.26338626199867576,2,1,00 11
2,12,8196,8196,0.9999989244405533,0.2385013839957537,2,1,00 11
2,13,8196,8196,0.9999935661262508,0.2706140700029209,2,1,00 11
2,14,8196,8196,0.9999268769432015,0.27717577600560617,2,1,00 11
2,15,8196,8196,0.9999899365637811,0.2557795159955276,2,1,00 11
2,16,8196,8196,0.9999909259858125,0.24653682799544185,2,1,00 11
2,17,8196,8196,0.9999997550067902,0.24599615100305527,2,1,00 11
2,18,8196,8196,0.9999401935495769,0.2927156279911287,2,1,00 11
2,19,8196,8196,0.9999921249317902,0.2538229850033531,2,1,00 11
2,20,8196,8196,0.9999906957759754,0.28792356699705124,2,1,00 11
2,21,8196,8196,0.9998949489740571,0.244729637997807,2,1,00 11
2,22,8196,8196,0.9999960955701395,0.24486908299149945,2,1,00 11
2,23,8196,8196,0.999969853746136,0.2611572879977757,2,1,00 11
2,24,8196,8196,0.9999987941823314,0.2861311390006449,2,1,00 11
2,25,8196,8196,0.9999891475580003,0.33741796200047247,2,1,00 11
2,26,8196,8196,0.9999960839718267,0.4699022419954417,2,1,00 11
2,27,8196,8196,0.9999597450397545,0.35538064398861025,2,1,00 11
2,28,8196,8196,0.9999967694451862,0.2846721599926241,2,1,00 11
2,29,8196,8196,0.9999712322672051,0.26581348999752663,2,1,00 11
2,30,8196,8196,0.9999901697124257,0.27182947799155954,2,1,00 11
2,31,8196,8196,0.9999918663335006,0.27319516699935775,2,1,00 11
2,32,8196,8196,0.9999754492096969,0.27258330000040587,2,1,00 11
2,33,8196,8196,0.9999937438588351,0.2847467649989994,2,1,00 11
2,34,8196,8196,0.9999974062671942,0.288897778998944,2,1,00 11
2,35,8196,8196,0.999998656480746,0.28767029600567184,2,1,00 11
2,36,8196,8196,0.9999962292905883,0.32977141300216317,2,1,00 11
2,37,8196,8196,0.9999927948240395,0.32398418300726917,2,1,00 11
2,38,8196,8196,0.9999934351125426,0.32017551800527144,2,1,00 11
2,39,8196,8196,0.9999646088808118,0.33136661899334285,2,1,00 11
2,40,8196,8196,0.9999952043077164,0.32345766900107265,2,1,00 11
2,41,8196,8196,0.9999270503865864,0.3269471919920761,2,1,00 11
2,42,8196,8196,0.9999946259120727,0.28902180900331587,2,1,00 11
2,43,8196,8196,0.9999807065683342,0.3218743199977325,2,1,00 11
2,44,8196,8196,0.9999919185316799,0.33197638898855075,2,1,00 11
2,45,8196,8196,0.9999806692501543,0.30687405398930423,2,1,00 11
2,46,8196,8196,0.9999982586854572,0.30721254598756786,2,1,00 11
2,47,8196,8196,0.9999899365637811,0.3551064429921098,2,1,00 11
2,48,8196,8196,0.9999981987193463,0.28271167099592276,2,1,00 11
2,49,8196,8196,0.9999838130224369,0.28851210699940566,2,1,00 11
2,50,8196,8196,0.9999778157495681,0.2917141279904172,2,1,00 11
2,51,8196,8196,0.9999991388378782,0.30189300401252694,2,1,00 11
2,52,8196,8196,0.9999954033447042,0.28060619700409006,2,1,00 11
2,53,8196,8196,0.9999934349575113,0.29858646100910846,2,1,00 11
2,54,8196,8196,0.9999735889019262,0.3069987979979487,2,1,00 11
2,55,8196,8196,0.9999974028363222,0.30809561398928054,2,1,00 11
2,56,8196,8196,0.9999217276998481,0.3067661829991266,2,1,00 11
2,57,8196,8196,0.9999951767215249,0.3057178279996151,2,1,00 11
2,58,8196,8196,0.9999807066069221,0.3285969979915535,2,1,00 11
2,59,8196,8196,0.9999963874526979,0.3486132510006428,2,1,00 11
2,60,8196,8196,0.9999918784281899,0.31849009000870865,2,1,00 11
2,61,8196,8196,0.9999892238879607,0.2916627869999502,2,1,00 11
2,62,8196,8196,0.9999801682647879,0.25316768400080036,2,1,00 11
2,63,8196,8196,0.9999808454580182,0.286845666996669,2,1,00 11
2,64,8196,8196,0.9999971305763657,0.273261326001375,2,1,00 11
2,65,8196,8196,0.9999987941847432,0.2897472800104879,2,1,00 11
2,66,8196,8196,0.9999987941823314,0.32239847000164445,2,1,00 11
2,67,8196,8196,0.9999996278351073,0.31217841399484314,2,1,00 11
2,68,8196,8196,0.9999997618145007,0.28680506300588604,2,1,00 11
2,69,8196,8196,0.999998511335791,0.3142079149984056,2,1,00 11
2,70,8196,8196,0.9999986668065974,0.2583590930007631,2,1,00 11
2,71,8196,8196,0.9998729332521168,0.26825826399726793,2,1,00 11
2,72,8196,8196,0.9999946259120727,0.29681723899557255,2,1,00 11
2,73,8196,8196,0.9999876137664415,0.27668696599721443,2,1,00 11
2,74,8196,8196,0.9999228219601777,0.2684904180059675,2,1,00 11
2,75,8196,8196,0.9999427725580096,0.2663410610111896,2,1,00 11
2,76,8196,8196,0.9999481770940509,0.3048038980050478,2,1,00 11
2,77,8196,8196,0.9999999404536357,0.3007936170033645,2,1,00 11
2,78,8196,8196,0.9999832932116668,0.3304151379998075,2,1,00 11
2,79,8196,8196,0.9999184743858762,0.3022691969963489,2,1,00 11
2,80,8196,8196,0.9999807066069221,0.27209770600893535,2,1,00 11
2,81,8196,8196,0.9999998660204024,0.2870208849926712,2,1,00 11
2,82,8196,8196,1.0,0.30403523799031973,2,1,00 11
2,83,8196,8196,0.9999270503865864,0.32263186799536925,2,1,00 11
2,84,8196,8196,1.0,0.29690177299198695,2,1,00 11
2,85,8196,8196,0.9999998293594461,0.2753786669927649,2,1,00 11
2,86,8196,8196,1.0,0.27241146699816454,2,1,00 11
2,87,8196,8196,0.9999507786901194,0.28543136999360286,2,1,00 11
2,88,8196,8196,0.9999992899505349,0.2418916800088482,2,1,00 11
2,89,8196,8196,0.9999967843435981,0.2973163510032464,2,1,00 11
2,90,8196,8196,0.9999956977569354,0.3105648979981197,2,1,00 11
2,91,8196,8196,0.9999447368119347,0.31161609799892176,2,1,00 11
2,92,8196,8196,0.9999985113387682,0.29342096799518913,2,1,00 11
2,93,8196,8196,0.9999998660204024,0.29746659500233363,2,1,00 11
2,94,8196,8196,0.9999856937535787,0.2981995449954411,2,1,00 11
2,95,8196,8196,0.9999516310322907,0.2727453000115929,2,1,00 11
2,96,8196,8196,0.9999427726724707,0.3128911980020348,2,1,00 11
2,97,8196,8196,0.9999833028549009,0.295629795989953,2,1,00 11
2,98,8196,8196,1.0,0.324027800001204,2,1,00 11
2,99,8196,8196,0.9998684447826004,0.2965084699972067,2,1,00 11
2,100,8196,8196,0.9999999961650277,0.27485471100953873,2,1,00 11
2,101,8196,8196,0.999999996278345,0.2691752389946487,2,1,00 11
2,102,8196,8196,0.9999703108796193,0.28617020400997717,2,1,00 11
2,103,8196,8196,0.9999549659466461,0.30951128200103994,2,1,00 11
2,104,8196,8196,1.0,0.3012702679989161,2,1,00 11
2,105,8196,8196,0.9999988466593001,0.31997146998764947,2,1,00 11
2,106,8196,8196,0.9999796198427249,0.31699883300461806,2,1,00 11
2,107,8196,8196,0.9999999069586166,0.3135120920051122,2,1,00 11
2,108,8196,8196,0.999999101472719,0.29041059500013944,2,1,00 11
2,109,8196,8196,0.9999883287770996,0.30939182901056483,2,1,00 11
2,110,8196,8196,0.999953663547473,0.30914642399875447,2,1,00 11
2,111,8196,8196,0.99997390359184,0.2779887070064433,2,1,00 11
2,112,8196,8196,0.9999371000743957,0.276816287994734,2,1,00 11
2,113,8196,8196,0.9999721978900752,0.33321492800314445,2,1,00 11
2,114,8196,8196,0.999963076159316,0.2940888140001334,2,1,00 11
2,115,8196,8196,0.9999549660367181,0.2863519870006712,2,1,00 11
2,116,8196,8196,0.9999934349575108,0.39605021799798124,2,1,00 11
