n,run_idx,phase_bits,phase1_shots,phase2_shots,fidelity,elapsed_s,support_size,support_hit,support_indices
5,0,5,16384,8192,0.9999209397081448,7.682415800009039,2,1,00000 11111
5,1,5,16384,8192,0.9999965430872761,7.79511380000622,2,1,00000 11111
5,2,5,16384,8192,0.9999890352176869,7.507641499993042,2,1,00000 11111
5,3,5,16384,8192,0.9999117130397864,7.519447400001809,2,1,00000 11111
5,4,5,16384,8192,0.9999367046842773,7.4876717000006465,2,1,00000 11111
5,5,5,16384,8192,0.9999998433648817,7.587476799992146,2,1,00000 11111
5,6,5,16384,8192,0.9999185377455418,7.463943499999004,2,1,00000 11111
5,7,5,16384,8192,0.9999853395388419,7.5114953000011155,2,1,00000 11111
5,8,5,16384,8192,0.9999449278077821,7.541336700000102,2,1,00000 11111
5,9,5,16384,8192,0.9999437424327317,7.514863100004732,2,1,00000 11111
5,10,5,16384,8192,0.9999124965279377,7.489621200002148,2,1,00000 11111
5,11,5,16384,8192,0.9998934826943147,7.470102100007352,2,1,00000 11111
5,12,5,16384,8192,0.999923117220394,7.46410179999657,2,1,00000 11111
5,13,5,16384,8192,0.9999890649334662,7.504519699999946,2,1,00000 11111
5,14,5,16384,8192,0.9999867688349787,7.447057799989125,2,1,00000 11111
5,15,5,16384,8192,0.9999884429428171,7.406452100010938,2,1,00000 11111
5,16,5,16384,8192,0.9999862927226288,7.551069199995254,2,1,00000 11111
5,17,5,16384,8192,0.9999362786268103,7.576983100007055,2,1,00000 11111
5,18,5,16384,8192,0.9999405757341268,7.456272900002659,2,1,00000 11111
5,19,5,16384,8192,0.9999723605920369,7.460533099991153,2,1,00000 11111
5,20,5,16384,8192,0.9999243398051015,7.428532999998424,2,1,00000 11111
5,21,5,16384,8192,0.9999901978903672,7.6337816000013845,2,1,00000 11111
5,22,5,16384,8192,0.9999981308283098,7.421405300003244,2,1,00000 11111
5,23,5,16384,8192,0.9999685350190359,7.479381600001943,2,1,00000 11111
5,24,5,16384,8192,0.9999420470949344,7.561760600001435,2,1,00000 11111
5,25,5,16384,8192,0.9997788981675085,7.700692800004617,2,1,00000 11111
5,26,5,16384,8192,0.99998900741017,7.5962842000008095,2,1,00000 11111
5,27,5,16384,8192,0.9998561537314323,7.524967699995614,2,1,00000 11111
5,28,5,16384,8192,0.9999943041831161,7.565165000007255,2,1,00000 11111
5,29,5,16384,8192,0.9999907466223773,7.605227699998068,2,1,00000 11111
5,30,5,16384,8192,0.9999973248464923,7.552192499992088,2,1,00000 11111
