n,run_idx,phase1_shots,phase2_shots,fidelity,elapsed_s,support_size,support_hit,support_indices
3,0,8196,16384,0.9999656873323811,5.2041993149996415,3,0,000 100 111
3,1,8196,16384,0.9999886846427517,5.046740121999392,3,0,000 100 111
3,2,8196,16384,0.9999646865691556,5.607302677999542,3,0,000 100 111
3,3,8196,16384,0.9999340990290227,5.2021111529993505,3,0,000 100 111
3,4,8196,16384,0.9998880626816149,5.423581500001092,2,1,000 111
3,5,8196,16384,0.9999002573090784,5.343025037000189,3,0,000 100 111
3,6,8196,16384,0.9999391844133015,5.379902855998807,2,1,000 111
3,7,8196,16384,0.9999494171368543,5.423552293999819,2,1,000 111
3,8,8196,16384,0.9998878559479674,5.507412946000841,2,1,000 111
3,9,8196,16384,0.99990465065173,5.583861330998843,3,0,000 100 111
3,10,8196,16384,0.9999788733590049,5.4503281689994765,2,1,000 111
3,11,8196,16384,0.9999434543729468,5.2209073590001935,3,0,000 100 111
3,12,8196,16384,0.9999305475940975,5.326666560000376,3,0,000 100 111
3,13,8196,16384,0.9999337401868489,5.385605113000565,2,1,000 111
3,14,8196,16384,0.9999177159450742,5.84779147900008,3,0,000 100 111
3,15,8196,16384,0.9999322711932324,5.783508389999042,3,0,000 100 111
3,16,8196,16384,0.999890537866796,5.3126855959999375,3,0,000 100 111
3,17,8196,16384,0.9999481187153041,5.284150345998569,2,1,000 111
3,18,8196,16384,0.9999378429400755,5.859968937000303,2,1,000 111
3,19,8196,16384,0.9999598423838416,6.123715502999403,2,1,000 111
3,20,8196,16384,0.9998918125573406,5.723651212998448,3,0,000 100 111
3,21,8196,16384,0.9999866933453927,5.493323582999437,3,0,000 100 111
3,22,8196,16384,0.9999466996668223,5.680945075000636,2,1,000 111
3,23,8196,16384,0.99978582290296,5.737602314000469,2,1,000 111
3,24,8196,16384,0.9998942699354193,5.917235473998517,3,0,000 100 111
3,25,8196,16384,0.9999041862347677,5.688543259999278,3,0,000 100 111
3,26,8196,16384,0.9999402742311584,5.612389146001078,3,0,000 100 111
3,27,8196,16384,0.999928645679983,5.328740623999693,3,0,000 100 111
3,28,8196,16384,0.999928555343959,5.5449816989985266,3,0,000 100 111
3,29,8196,16384,0.9998295223601947,5.730297211999641,2,1,000 111
3,30,8196,16384,0.9999323677498577,5.760062800000014,2,1,000 111
3,31,8196,16384,0.9999738267387213,5.737255603999074,2,1,000 111
3,32,8196,16384,0.9999678052871316,5.1449591720011085,2,1,000 111
3,33,8196,16384,0.9999386093023621,5.59004671799994,2,1,000 111
3,34,8196,16384,0.9999511472991276,5.328965876000439,3,0,000 100 111
3,35,8196,16384,0.999896864346196,5.415908586001024,2,1,000 111
3,36,8196,16384,0.9998527337899267,5.414916743999129,3,0,000 100 111
3,37,8196,16384,0.9998120624211934,5.276854277999519,3,0,000 100 111
3,38,8196,16384,0.9999597517208392,5.2967923790001805,2,1,000 111
3,39,8196,16384,0.9999574801941689,5.271656341999915,2,1,000 111
3,40,8196,16384,0.9999034679276483,5.533334240999466,2,1,000 111
3,41,8196,16384,0.9998441202160905,5.616696215000047,2,1,000 111
3,42,8196,16384,0.9998202102977856,5.21268099900044,2,1,000 111
3,43,8196,16384,0.9999650988741575,5.203914143001384,3,0,000 100 111
3,44,8196,16384,0.9999139606323659,5.236502489999111,2,1,000 111
3,45,8196,16384,0.9999203783172648,5.529354304999288,3,0,000 100 111
3,46,8196,16384,0.9999852252287038,5.7032281779993355,3,0,000 100 111
3,47,8196,16384,0.9998289338261476,5.558124826999119,3,0,000 100 111
3,48,8196,16384,0.9999824495644101,5.511065888000303,3,0,000 100 111
3,49,8196,16384,0.9999537889716887,5.477092577000803,2,1,000 111
3,50,8196,16384,0.9998943311661508,5.549580840999624,3,0,000 100 111
3,51,8196,16384,0.9999193245071637,5.59502035100013,2,1,000 111
3,52,8196,16384,0.999957430372767,5.566203561000293,3,0,000 100 111
3,53,8196,16384,0.9998419679525391,5.531209505001243,2,1,000 111
3,54,8196,16384,0.9999021633096533,5.678363494000223,3,0,000 100 111
3,55,8196,16384,0.9998577128291983,5.378931155999453,3,0,000 100 111
3,56,8196,16384,0.999947143144316,5.572975523000423,3,0,000 100 111
3,57,8196,16384,0.9998583471042506,5.337685567001245,3,0,000 100 111
3,58,8196,16384,0.999971366976457,5.418832954001118,3,0,000 100 111
3,59,8196,16384,0.9998833695524253,5.569592683999872,3,0,000 100 111
3,60,8196,16384,0.9999678441489273,5.6266999789986585,3,0,000 100 111
3,61,8196,16384,0.9999086524292192,5.276939858998958,3,0,000 100 111
3,62,8196,16384,0.9999341879575554,5.6757399319994875,2,1,000 111
3,63,8196,16384,0.999898679028732,5.734682880000037,3,0,000 100 111
3,64,8196,16384,0.9999436961932542,5.407506151999769,3,0,000 100 111
3,65,8196,16384,0.9999473966050962,5.421243443999629,3,0,000 100 111
3,66,8196,16384,0.9999026897379686,5.394285006001155,3,0,000 100 111
3,67,8196,16384,0.9999726500418519,5.581452086000354,3,0,000 100 111
3,68,8196,16384,0.9999914861663469,5.696732898999471,3,0,000 100 111
3,69,8196,16384,0.9999772786599679,5.534393703001115,3,0,000 100 111
3,70,8196,16384,0.9998543062592754,5.629900735999399,2,1,000 111
3,71,8196,16384,0.9998908623205891,5.457669179999357,3,0,000 100 111
3,72,8196,16384,0.9999639703673806,5.653651335000177,2,1,000 111
3,73,8196,16384,0.9998934429658644,5.4194718550006655,3,0,000 100 111
3,74,8196,16384,0.9999843411908103,5.381486209000286,2,1,000 111
3,75,8196,16384,0.9999436438406818,5.244504346999747,3,0,000 100 111
3,76,8196,16384,0.9999746511042694,5.222784581999804,3,0,000 100 111
3,77,8196,16384,0.9998585551223295,5.21917941600077,3,0,000 100 111
3,78,8196,16384,0.9999420971670205,5.2768943199989735,2,1,000 111
3,79,8196,16384,0.9999547617774543,5.547717596999064,3,0,000 100 111
3,80,8196,16384,0.9999957995123122,5.5782819430005475,2,1,000 111
3,81,8196,16384,0.9999422291236272,5.780251457999839,3,0,000 100 111
3,82,8196,16384,0.9999507809912096,5.398950368000442,2,1,000 111
3,83,8196,16384,0.999958651753244,5.248133582001174,2,1,000 111
3,84,8196,16384,0.9998719234245872,5.547928129000866,2,1,000 111
3,85,8196,16384,0.9998992397916197,5.4795475789997,3,0,000 100 111
3,86,8196,16384,0.9999077254095446,5.221414827001354,2,1,000 111
3,87,8196,16384,0.9999357883677937,5.412953372000629,3,0,000 100 111
3,88,8196,16384,0.9998803087283537,5.340416036999159,2,1,000 111
3,89,8196,16384,0.9998961342341491,5.189737429000161,2,1,000 111
3,90,8196,16384,0.9999944846437063,5.398609440000655,2,1,000 111
3,91,8196,16384,0.9998436855199365,5.264582230000087,3,0,000 100 111
3,92,8196,16384,0.9999396388898258,5.380521404000319,3,0,000 100 111
